,TransactionNo,Items,Daypart,DayType,Year,Month
114,57,Scandinavian,Afternoon,Weekend,2016,10
115,58,Victorian Sponge,Afternoon,Weekend,2016,10
116,58,Hot chocolate,Afternoon,Weekend,2016,10
117,58,Tea,Afternoon,Weekend,2016,10
118,58,Soup,Afternoon,Weekend,2016,10
119,59,Tea,Afternoon,Weekend,2016,10
120,60,Cookies,Afternoon,Weekend,2016,10
121,60,Coffee,Afternoon,Weekend,2016,10
122,60,Juice,Afternoon,Weekend,2016,10
123,60,Coffee,Afternoon,Weekend,2016,10
124,61,Coffee,Afternoon,Weekend,2016,10
125,62,Pick and Mix Bowls,Afternoon,Weekend,2016,10
126,62,Hearty & Seasonal,Afternoon,Weekend,2016,10
127,62,Hearty & Seasonal,Afternoon,Weekend,2016,10
128,62,Coffee,Afternoon,Weekend,2016,10
129,62,Smoothies,Afternoon,Weekend,2016,10
130,62,Coffee,Afternoon,Weekend,2016,10
131,63,Coffee,Afternoon,Weekend,2016,10
132,64,Cake,Afternoon,Weekend,2016,10
133,65,Tartine,Afternoon,Weekend,2016,10
134,65,Mighty Protein,Afternoon,Weekend,2016,10
135,65,Tea,Afternoon,Weekend,2016,10
136,65,Coffee,Afternoon,Weekend,2016,10
137,66,Hearty & Seasonal,Afternoon,Weekend,2016,10
138,66,Frittata,Afternoon,Weekend,2016,10
139,66,Mineral water,Afternoon,Weekend,2016,10
140,67,Hearty & Seasonal,Afternoon,Weekend,2016,10
141,67,Mineral water,Afternoon,Weekend,2016,10
142,67,Muffin,Afternoon,Weekend,2016,10
143,68,Frittata,Afternoon,Weekend,2016,10
144,68,Coffee,Afternoon,Weekend,2016,10
145,68,Tea,Afternoon,Weekend,2016,10
146,68,Scandinavian,Afternoon,Weekend,2016,10
147,68,Chicken sand,Afternoon,Weekend,2016,10
148,69,Bread,Afternoon,Weekend,2016,10
149,69,Tea,Afternoon,Weekend,2016,10
150,69,Victorian Sponge,Afternoon,Weekend,2016,10
151,70,Fudge,Afternoon,Weekend,2016,10
152,71,Muffin,Afternoon,Weekend,2016,10
153,72,Coffee,Afternoon,Weekend,2016,10
154,72,Bread,Afternoon,Weekend,2016,10
155,73,Bread,Afternoon,Weekend,2016,10
156,74,Coffee,Afternoon,Weekend,2016,10
157,74,Bread,Afternoon,Weekend,2016,10
158,75,Jam,Afternoon,Weekend,2016,10
159,75,Frittata,Afternoon,Weekend,2016,10
160,76,Coffee,Afternoon,Weekend,2016,10
161,77,Scandinavian,Afternoon,Weekend,2016,10
162,78,Fudge,Afternoon,Weekend,2016,10
163,79,Fudge,Afternoon,Weekend,2016,10
164,79,Tea,Afternoon,Weekend,2016,10
165,79,Coffee,Afternoon,Weekend,2016,10
166,79,Muffin,Afternoon,Weekend,2016,10
167,80,Frittata,Afternoon,Weekend,2016,10
168,80,Bread,Afternoon,Weekend,2016,10
169,80,Coffee,Afternoon,Weekend,2016,10
170,81,Coffee,Morning,Weekday,2016,10
171,81,Cake,Morning,Weekday,2016,10
172,82,Tartine,Morning,Weekday,2016,10
173,82,Bread,Morning,Weekday,2016,10
174,83,Coffee,Morning,Weekday,2016,10
175,83,Bread,Morning,Weekday,2016,10
176,84,Bread,Morning,Weekday,2016,10
177,85,Coffee,Morning,Weekday,2016,10
178,85,Coffee,Morning,Weekday,2016,10
179,85,Pastry,Morning,Weekday,2016,10
180,85,Medialuna,Morning,Weekday,2016,10
181,86,Juice,Morning,Weekday,2016,10
182,87,Bread,Morning,Weekday,2016,10
183,88,Coffee,Morning,Weekday,2016,10
184,88,Coffee,Morning,Weekday,2016,10
185,88,Jam,Morning,Weekday,2016,10
186,89,Bread,Morning,Weekday,2016,10
187,90,Bread,Morning,Weekday,2016,10
188,90,Coffee,Morning,Weekday,2016,10
189,91,Tea,Morning,Weekday,2016,10
190,92,Coffee,Morning,Weekday,2016,10
191,93,Bread,Morning,Weekday,2016,10
192,93,Coke,Morning,Weekday,2016,10
193,94,Coffee,Morning,Weekday,2016,10
194,94,Coffee,Morning,Weekday,2016,10
195,95,Tea,Morning,Weekday,2016,10
196,95,Pastry,Morning,Weekday,2016,10
197,95,Farm House,Morning,Weekday,2016,10
198,96,Pastry,Morning,Weekday,2016,10
199,96,Pastry,Morning,Weekday,2016,10
200,96,Coffee,Morning,Weekday,2016,10
201,96,Juice,Morning,Weekday,2016,10
202,97,Coffee,Morning,Weekday,2016,10
203,97,Pastry,Morning,Weekday,2016,10
204,97,Juice,Morning,Weekday,2016,10
205,98,Farm House,Morning,Weekday,2016,10
206,99,Pastry,Morning,Weekday,2016,10
207,99,Pastry,Morning,Weekday,2016,10
208,99,Coffee,Morning,Weekday,2016,10
209,99,Bread,Morning,Weekday,2016,10
210,100,Bread,Morning,Weekday,2016,10
211,101,Coffee,Morning,Weekday,2016,10
212,101,Pastry,Morning,Weekday,2016,10
213,102,Farm House,Morning,Weekday,2016,10
214,103,Bread,Morning,Weekday,2016,10
215,104,Coffee,Morning,Weekday,2016,10
216,104,Coffee,Morning,Weekday,2016,10
217,104,Medialuna,Morning,Weekday,2016,10
218,104,Muffin,Morning,Weekday,2016,10
219,104,Coffee,Morning,Weekday,2016,10
220,105,Coffee,Morning,Weekday,2016,10
221,105,Tea,Morning,Weekday,2016,10
222,105,Cake,Morning,Weekday,2016,10
223,106,Coffee,Morning,Weekday,2016,10
224,106,Coffee,Morning,Weekday,2016,10
225,106,Pastry,Morning,Weekday,2016,10
226,106,Pastry,Morning,Weekday,2016,10
227,107,Coffee,Morning,Weekday,2016,10
228,107,Tea,Morning,Weekday,2016,10
229,108,Farm House,Morning,Weekday,2016,10
230,108,Muffin,Morning,Weekday,2016,10
231,109,Bread,Morning,Weekday,2016,10
232,109,Muffin,Morning,Weekday,2016,10
233,109,Pastry,Morning,Weekday,2016,10
234,110,Pastry,Morning,Weekday,2016,10
235,111,Coffee,Morning,Weekday,2016,10
236,112,Coffee,Morning,Weekday,2016,10
237,113,Coffee,Morning,Weekday,2016,10
238,113,Cake,Morning,Weekday,2016,10
239,114,Farm House,Morning,Weekday,2016,10
240,115,Bread,Morning,Weekday,2016,10
241,116,Coffee,Morning,Weekday,2016,10
242,117,Cookies,Morning,Weekday,2016,10
243,117,Cake,Morning,Weekday,2016,10
244,117,Coffee,Morning,Weekday,2016,10
245,117,My-5 Fruit Shoot,Morning,Weekday,2016,10
246,118,Cookies,Morning,Weekday,2016,10
247,118,Cookies,Morning,Weekday,2016,10
248,118,Tea,Morning,Weekday,2016,10
249,118,Pastry,Morning,Weekday,2016,10
250,119,Coffee,Morning,Weekday,2016,10
251,119,Coffee,Morning,Weekday,2016,10
252,119,Muffin,Morning,Weekday,2016,10
253,120,Farm House,Morning,Weekday,2016,10
254,121,Coffee,Morning,Weekday,2016,10
255,121,Bread,Morning,Weekday,2016,10
256,122,Cookies,Morning,Weekday,2016,10
257,123,Jam,Morning,Weekday,2016,10
258,123,Coffee,Morning,Weekday,2016,10
259,123,Coffee,Morning,Weekday,2016,10
260,123,Juice,Morning,Weekday,2016,10
261,124,Coffee,Morning,Weekday,2016,10
262,124,Soup,Morning,Weekday,2016,10
263,125,Tea,Morning,Weekday,2016,10
264,126,Coffee,Morning,Weekday,2016,10
265,126,Jam,Morning,Weekday,2016,10
266,127,Farm House,Morning,Weekday,2016,10
267,128,Tartine,Morning,Weekday,2016,10
268,128,Coffee,Morning,Weekday,2016,10
269,128,Tea,Morning,Weekday,2016,10
270,129,Coffee,Morning,Weekday,2016,10
271,129,Coffee,Morning,Weekday,2016,10
272,129,Cake,Morning,Weekday,2016,10
273,130,Coffee,Afternoon,Weekday,2016,10
274,130,Coffee,Afternoon,Weekday,2016,10
275,130,Muffin,Afternoon,Weekday,2016,10
276,131,Bread,Afternoon,Weekday,2016,10
277,131,Coffee,Afternoon,Weekday,2016,10
278,132,Tea,Afternoon,Weekday,2016,10
279,132,Juice,Afternoon,Weekday,2016,10
280,132,Pick and Mix Bowls,Afternoon,Weekday,2016,10
281,132,Cookies,Afternoon,Weekday,2016,10
282,133,Hearty & Seasonal,Afternoon,Weekday,2016,10
283,133,Soup,Afternoon,Weekday,2016,10
284,134,Hearty & Seasonal,Afternoon,Weekday,2016,10
285,134,Tea,Afternoon,Weekday,2016,10
286,134,Farm House,Afternoon,Weekday,2016,10
287,135,Bread,Afternoon,Weekday,2016,10
288,136,Tea,Afternoon,Weekday,2016,10
289,136,Soup,Afternoon,Weekday,2016,10
290,137,Farm House,Afternoon,Weekday,2016,10
291,138,Soup,Afternoon,Weekday,2016,10
292,138,Hearty & Seasonal,Afternoon,Weekday,2016,10
293,138,Coffee,Afternoon,Weekday,2016,10
294,139,Bread,Afternoon,Weekday,2016,10
295,139,Muffin,Afternoon,Weekday,2016,10
296,139,Hearty & Seasonal,Afternoon,Weekday,2016,10
297,140,Coffee,Afternoon,Weekday,2016,10
298,140,Coffee,Afternoon,Weekday,2016,10
299,140,Cookies,Afternoon,Weekday,2016,10
300,141,Bread,Afternoon,Weekday,2016,10
301,142,Tea,Afternoon,Weekday,2016,10
302,142,Muffin,Afternoon,Weekday,2016,10
303,143,Tea,Afternoon,Weekday,2016,10
304,144,Soup,Afternoon,Weekday,2016,10
305,144,Hearty & Seasonal,Afternoon,Weekday,2016,10
306,145,Coffee,Afternoon,Weekday,2016,10
307,145,Tea,Afternoon,Weekday,2016,10
308,145,Focaccia,Afternoon,Weekday,2016,10
309,146,Sandwich,Afternoon,Weekday,2016,10
310,147,Tartine,Afternoon,Weekday,2016,10
311,147,Coffee,Afternoon,Weekday,2016,10
312,148,Fudge,Afternoon,Weekday,2016,10
313,148,Coffee,Afternoon,Weekday,2016,10
314,148,Coffee,Afternoon,Weekday,2016,10
315,149,Coffee,Afternoon,Weekday,2016,10
316,150,Bread,Afternoon,Weekday,2016,10
317,151,Coke,Afternoon,Weekday,2016,10
318,151,Soup,Afternoon,Weekday,2016,10
319,152,Muffin,Afternoon,Weekday,2016,10
320,153,Tea,Afternoon,Weekday,2016,10
321,153,Coffee,Afternoon,Weekday,2016,10
322,153,Cookies,Afternoon,Weekday,2016,10
323,153,Muffin,Afternoon,Weekday,2016,10
324,154,Mighty Protein,Afternoon,Weekday,2016,10
325,154,Hearty & Seasonal,Afternoon,Weekday,2016,10
326,154,Coffee,Afternoon,Weekday,2016,10
327,154,Coke,Afternoon,Weekday,2016,10
328,155,Tea,Afternoon,Weekday,2016,10
329,155,Muffin,Afternoon,Weekday,2016,10
330,155,Sandwich,Afternoon,Weekday,2016,10
331,156,Coffee,Afternoon,Weekday,2016,10
332,156,Muffin,Afternoon,Weekday,2016,10
333,157,Coffee,Afternoon,Weekday,2016,10
334,157,Bread,Afternoon,Weekday,2016,10
335,158,Coffee,Afternoon,Weekday,2016,10
336,158,Muffin,Afternoon,Weekday,2016,10
337,159,Bread,Afternoon,Weekday,2016,10
338,159,Hot chocolate,Afternoon,Weekday,2016,10
339,159,Cookies,Afternoon,Weekday,2016,10
340,160,Mineral water,Afternoon,Weekday,2016,10
341,160,Muffin,Afternoon,Weekday,2016,10
342,161,Tea,Afternoon,Weekday,2016,10
343,162,Muffin,Afternoon,Weekday,2016,10
344,163,Coffee,Afternoon,Weekday,2016,10
345,163,Juice,Afternoon,Weekday,2016,10
346,164,Coffee,Afternoon,Weekday,2016,10
347,164,Muffin,Afternoon,Weekday,2016,10
348,165,Tea,Afternoon,Weekday,2016,10
349,166,Coffee,Afternoon,Weekday,2016,10
350,166,Muffin,Afternoon,Weekday,2016,10
351,167,Sandwich,Afternoon,Weekday,2016,10
352,167,Hearty & Seasonal,Afternoon,Weekday,2016,10
353,167,Bread,Afternoon,Weekday,2016,10
354,167,Mineral water,Afternoon,Weekday,2016,10
355,168,Tea,Afternoon,Weekday,2016,10
356,168,Coffee,Afternoon,Weekday,2016,10
357,169,Mineral water,Afternoon,Weekday,2016,10
358,170,Coffee,Afternoon,Weekday,2016,10
359,171,Soup,Afternoon,Weekday,2016,10
360,171,Tea,Afternoon,Weekday,2016,10
361,172,Bread,Evening,Weekday,2016,10
362,172,Coffee,Evening,Weekday,2016,10
363,173,Bread,Evening,Weekday,2016,10
364,173,Muffin,Evening,Weekday,2016,10
365,174,Coffee,Evening,Weekday,2016,10
366,175,Bread,Evening,Weekday,2016,10
367,176,Cookies,Evening,Weekday,2016,10
368,176,Coffee,Evening,Weekday,2016,10
369,178,Coffee,Morning,Weekday,2016,01
370,178,Pastry,Morning,Weekday,2016,01
371,179,Coffee,Morning,Weekday,2016,01
372,179,Pastry,Morning,Weekday,2016,01
373,180,Jam,Morning,Weekday,2016,01
374,180,Tea,Morning,Weekday,2016,01
375,181,Tea,Morning,Weekday,2016,01
376,181,Tea,Morning,Weekday,2016,01
377,182,Pastry,Morning,Weekday,2016,01
378,182,Pastry,Morning,Weekday,2016,01
379,182,Ella's Kitchen Pouches,Morning,Weekday,2016,01
380,183,Pastry,Morning,Weekday,2016,01
381,184,Farm House,Morning,Weekday,2016,01
382,184,Tea,Morning,Weekday,2016,01
383,185,Tea,Morning,Weekday,2016,01
384,185,Victorian Sponge,Morning,Weekday,2016,01
385,186,Tea,Morning,Weekday,2016,01
386,186,Pastry,Morning,Weekday,2016,01
387,187,Bread,Morning,Weekday,2016,01
388,188,Coffee,Morning,Weekday,2016,01
389,189,Bread,Morning,Weekday,2016,01
390,189,Coffee,Morning,Weekday,2016,01
391,190,Coffee,Morning,Weekday,2016,01
392,190,Pastry,Morning,Weekday,2016,01
393,190,Pastry,Morning,Weekday,2016,01
394,191,Soup,Morning,Weekday,2016,01
395,191,Tea,Morning,Weekday,2016,01
396,192,Bread,Morning,Weekday,2016,01
397,193,Coffee,Morning,Weekday,2016,01
398,194,Bread,Morning,Weekday,2016,01
399,194,Bread,Morning,Weekday,2016,01
400,195,Bread,Morning,Weekday,2016,01
401,195,Scandinavian,Morning,Weekday,2016,01
402,196,Bread,Morning,Weekday,2016,01
403,196,Cake,Morning,Weekday,2016,01
404,196,Cookies,Morning,Weekday,2016,01
405,197,Coffee,Morning,Weekday,2016,01
406,197,Coffee,Morning,Weekday,2016,01
407,197,Tea,Morning,Weekday,2016,01
408,198,Coffee,Morning,Weekday,2016,01
409,198,Cookies,Morning,Weekday,2016,01
410,199,Coffee,Morning,Weekday,2016,01
411,200,Bread,Morning,Weekday,2016,01
412,201,Coffee,Morning,Weekday,2016,01
413,201,Pastry,Morning,Weekday,2016,01
414,202,Coffee,Morning,Weekday,2016,01
415,202,Coffee,Morning,Weekday,2016,01
416,203,Coffee,Morning,Weekday,2016,01
417,204,Scandinavian,Morning,Weekday,2016,01
418,204,Bread,Morning,Weekday,2016,01
419,205,Coffee,Morning,Weekday,2016,01
420,205,Coffee,Morning,Weekday,2016,01
421,205,Pastry,Morning,Weekday,2016,01
422,206,Scandinavian,Morning,Weekday,2016,01
423,206,Coffee,Morning,Weekday,2016,01
424,206,Pastry,Morning,Weekday,2016,01
425,207,Hearty & Seasonal,Afternoon,Weekday,2016,01
426,207,Coffee,Afternoon,Weekday,2016,01
427,207,Muffin,Afternoon,Weekday,2016,01
428,208,Bread,Afternoon,Weekday,2016,01
429,209,Coffee,Afternoon,Weekday,2016,01
430,210,Scandinavian,Afternoon,Weekday,2016,01
431,211,Soup,Afternoon,Weekday,2016,01
432,211,Coffee,Afternoon,Weekday,2016,01
433,212,Coffee,Afternoon,Weekday,2016,01
434,212,Cookies,Afternoon,Weekday,2016,01
435,212,Tartine,Afternoon,Weekday,2016,01
436,213,Bread,Afternoon,Weekday,2016,01
437,214,Bread,Afternoon,Weekday,2016,01
438,214,Tea,Afternoon,Weekday,2016,01
439,214,Tea,Afternoon,Weekday,2016,01
440,215,Pastry,Afternoon,Weekday,2016,01
441,215,Coffee,Afternoon,Weekday,2016,01
442,216,Tartine,Afternoon,Weekday,2016,01
443,216,Coffee,Afternoon,Weekday,2016,01
444,217,Bread,Afternoon,Weekday,2016,01
445,217,Cookies,Afternoon,Weekday,2016,01
446,218,Sandwich,Afternoon,Weekday,2016,01
447,219,Tartine,Afternoon,Weekday,2016,01
448,220,Bread,Afternoon,Weekday,2016,01
449,220,Pastry,Afternoon,Weekday,2016,01
450,221,Bread,Afternoon,Weekday,2016,01
451,221,Scandinavian,Afternoon,Weekday,2016,01
452,222,Scandinavian,Afternoon,Weekday,2016,01
453,223,Alfajores,Afternoon,Weekday,2016,01
454,223,Coffee,Afternoon,Weekday,2016,01
455,224,Coffee,Afternoon,Weekday,2016,01
456,225,Coffee,Afternoon,Weekday,2016,01
457,225,Coke,Afternoon,Weekday,2016,01
458,225,Soup,Afternoon,Weekday,2016,01
459,226,Cake,Afternoon,Weekday,2016,01
460,227,Tea,Afternoon,Weekday,2016,01
461,227,Sandwich,Afternoon,Weekday,2016,01
462,227,Soup,Afternoon,Weekday,2016,01
463,228,Coffee,Afternoon,Weekday,2016,01
464,229,Hearty & Seasonal,Afternoon,Weekday,2016,01
465,229,Bread,Afternoon,Weekday,2016,01
466,230,Alfajores,Afternoon,Weekday,2016,01
467,231,Cake,Afternoon,Weekday,2016,01
468,232,Tea,Afternoon,Weekday,2016,01
469,232,Tea,Afternoon,Weekday,2016,01
470,232,Bread,Afternoon,Weekday,2016,01
471,233,Coffee,Afternoon,Weekday,2016,01
472,233,Tea,Afternoon,Weekday,2016,01
473,233,Bread,Afternoon,Weekday,2016,01
474,233,Soup,Afternoon,Weekday,2016,01
475,234,Coffee,Afternoon,Weekday,2016,01
476,234,Coffee,Afternoon,Weekday,2016,01
477,235,Scandinavian,Afternoon,Weekday,2016,01
478,236,Fudge,Afternoon,Weekday,2016,01
479,237,Coffee,Afternoon,Weekday,2016,01
480,237,Sandwich,Afternoon,Weekday,2016,01
481,238,Tea,Afternoon,Weekday,2016,01
482,238,Bread,Afternoon,Weekday,2016,01
483,238,Cookies,Afternoon,Weekday,2016,01
484,238,Pastry,Afternoon,Weekday,2016,01
485,239,Muffin,Afternoon,Weekday,2016,01
486,240,Scandinavian,Afternoon,Weekday,2016,01
487,241,Jam,Afternoon,Weekday,2016,01
488,241,Tea,Afternoon,Weekday,2016,01
489,242,Juice,Afternoon,Weekday,2016,01
490,242,Tea,Afternoon,Weekday,2016,01
491,242,Alfajores,Afternoon,Weekday,2016,01
492,243,Cake,Afternoon,Weekday,2016,01
493,243,Muffin,Afternoon,Weekday,2016,01
494,243,Coffee,Afternoon,Weekday,2016,01
495,243,Soup,Afternoon,Weekday,2016,01
496,244,Hot chocolate,Afternoon,Weekday,2016,01
497,244,Cake,Afternoon,Weekday,2016,01
498,244,Coffee,Afternoon,Weekday,2016,01
499,245,Cake,Afternoon,Weekday,2016,01
500,245,Cookies,Afternoon,Weekday,2016,01
501,246,Tea,Afternoon,Weekday,2016,01
502,246,Bread,Afternoon,Weekday,2016,01
503,247,Alfajores,Afternoon,Weekday,2016,01
504,247,Coffee,Afternoon,Weekday,2016,01
505,247,Coffee,Afternoon,Weekday,2016,01
506,247,Coffee,Afternoon,Weekday,2016,01
507,247,Juice,Afternoon,Weekday,2016,01
508,248,Coffee,Afternoon,Weekday,2016,01
509,248,Tea,Afternoon,Weekday,2016,01
510,248,Soup,Afternoon,Weekday,2016,01
511,249,Hot chocolate,Afternoon,Weekday,2016,01
512,250,Cookies,Afternoon,Weekday,2016,01
513,251,Coffee,Afternoon,Weekday,2016,01
514,251,Medialuna,Afternoon,Weekday,2016,01
515,252,Bread,Afternoon,Weekday,2016,01
516,252,Eggs,Afternoon,Weekday,2016,01
517,253,Scandinavian,Evening,Weekday,2016,01
518,254,Medialuna,Evening,Weekday,2016,01
519,255,Coffee,Morning,Weekday,2016,02
520,255,Coffee,Morning,Weekday,2016,02
521,255,Pastry,Morning,Weekday,2016,02
522,256,Coffee,Morning,Weekday,2016,02
523,256,Bread,Morning,Weekday,2016,02
524,257,Bread,Morning,Weekday,2016,02
525,257,Coffee,Morning,Weekday,2016,02
526,257,Pastry,Morning,Weekday,2016,02
527,258,Coffee,Morning,Weekday,2016,02
528,258,Pastry,Morning,Weekday,2016,02
529,259,Pastry,Morning,Weekday,2016,02
530,260,Coffee,Morning,Weekday,2016,02
531,261,Coffee,Morning,Weekday,2016,02
532,262,Coffee,Morning,Weekday,2016,02
533,262,Hot chocolate,Morning,Weekday,2016,02
534,262,Pastry,Morning,Weekday,2016,02
535,263,Coke,Morning,Weekday,2016,02
536,264,Coffee,Morning,Weekday,2016,02
537,264,Jam,Morning,Weekday,2016,02
538,265,Tea,Morning,Weekday,2016,02
539,266,Bread,Morning,Weekday,2016,02
540,266,Pastry,Morning,Weekday,2016,02
541,267,Coffee,Morning,Weekday,2016,02
542,267,Alfajores,Morning,Weekday,2016,02
543,267,Farm House,Morning,Weekday,2016,02
544,268,Tea,Morning,Weekday,2016,02
545,268,Pastry,Morning,Weekday,2016,02
546,269,Bread,Morning,Weekday,2016,02
547,270,Coffee,Morning,Weekday,2016,02
548,270,Jam,Morning,Weekday,2016,02
549,271,Coffee,Morning,Weekday,2016,02
550,271,Tea,Morning,Weekday,2016,02
551,271,Coffee,Morning,Weekday,2016,02
552,271,Pastry,Morning,Weekday,2016,02
553,272,Farm House,Morning,Weekday,2016,02
554,274,Coffee,Morning,Weekday,2016,02
555,274,Bread,Morning,Weekday,2016,02
556,274,Pastry,Morning,Weekday,2016,02
557,275,Farm House,Morning,Weekday,2016,02
558,276,Coffee,Morning,Weekday,2016,02
559,276,Coffee,Morning,Weekday,2016,02
560,276,Pastry,Morning,Weekday,2016,02
561,277,Farm House,Morning,Weekday,2016,02
562,278,Coffee,Morning,Weekday,2016,02
563,278,Pastry,Morning,Weekday,2016,02
564,279,Coffee,Morning,Weekday,2016,02
565,280,Coffee,Morning,Weekday,2016,02
566,280,Pastry,Morning,Weekday,2016,02
567,281,Bread,Morning,Weekday,2016,02
568,281,Bread,Morning,Weekday,2016,02
569,282,Bread,Morning,Weekday,2016,02
570,282,Coffee,Morning,Weekday,2016,02
571,282,Pastry,Morning,Weekday,2016,02
572,283,Pastry,Morning,Weekday,2016,02
573,283,Coffee,Morning,Weekday,2016,02
574,284,Coffee,Morning,Weekday,2016,02
575,284,Farm House,Morning,Weekday,2016,02
576,285,Farm House,Morning,Weekday,2016,02
577,285,Farm House,Morning,Weekday,2016,02
578,285,Pastry,Morning,Weekday,2016,02
579,286,Bread,Morning,Weekday,2016,02
